Employee_ID,Full_Name,Department,Job_Title,hire_date,Performance_Rating,Experience_Years,Status,Work_Mode,Salary_INR,city,country,EXPERIENCE_LEVEL,SALARY_BAND
EMP0000117,"Vicki Ritter",IT,"Software Engineer",2024-12-20,3,0,Active,On-site,620800,Alexandermouth,Cuba,Junior,"Medium (5L-15L)"
EMP0000118,"Victoria Kelly",HR,"HR Manager",2011-06-05,2,14,Active,Remote,1122849,Christinebury,Tuvalu,Senior,"Medium (5L-15L)"
EMP0000119,"James Banks",R&D,"Research Scientist",2020-02-25,2,5,Active,Remote,749780,"East Markborough",Portugal,Mid_level,"Medium (5L-15L)"
EMP0000120,"Brooke Parker",Operations,"Operations Executive",2020-07-13,1,5,Resigned,On-site,879087,Wardmouth,"Saint Lucia",Mid_level,"Medium (5L-15L)"
EMP0000121,"Michael Jacobs",Sales,"Sales Executive",2024-02-22,4,1,Resigned,On-site,739283,"New Jeremystad",Latvia,Junior,"Medium (5L-15L)"
EMP0000122,"Vanessa Brown",IT,"Data Analyst",2017-08-14,3,8,Terminated,On-site,495474,"South Teresa",Liechtenstein,Senior,"Low(below 5L)"
EMP0000123,"Cynthia Hanna",Marketing,"Marketing Executive",2022-08-08,5,3,Active,Remote,611516,Espinozaview,Ethiopia,Mid_level,"Medium (5L-15L)"
EMP0000124,"Darren Perez",Operations,"Operations Executive",2013-10-26,2,11,Active,On-site,577474,"North Jeffreytown",Netherlands,Senior,"Medium (5L-15L)"
EMP0000125,"Sharon Miller",Operations,"Operations Executive",2022-02-25,2,3,Retired,On-site,1065702,Katrinatown,Tunisia,Mid_level,"Medium (5L-15L)"
EMP0000126,"Justin Martinez",IT,"Software Engineer",2020-08-29,3,4,Active,On-site,641082,Annachester,Niger,Mid_level,"Medium (5L-15L)"
EMP0000127,"Emily Palmer",Marketing,"Content Strategist",2020-09-23,4,4,Active,Remote,769468,"Port Brandonfurt","Saint Barthelemy",Mid_level,"Medium (5L-15L)"
EMP0000128,"Nicholas Walls",Marketing,"SEO Specialist",2019-01-04,1,6,Active,On-site,603585,Robertmouth,Tanzania,Mid_level,"Medium (5L-15L)"
EMP0000129,"Brandon Boyd",Marketing,"Marketing Executive",2016-12-03,5,8,Active,Remote,885407,"Lake Taylor",Netherlands,Senior,"Medium (5L-15L)"
EMP0000130,"Natalie Smith",Sales,"Account Manager",2023-06-19,2,2,Active,On-site,1121437,"North Jenny",Gibraltar,Junior,"Medium (5L-15L)"
EMP0000131,"Vicki Martinez",Operations,"Supply Chain Manager",2017-03-31,3,8,Active,On-site,1026657,"Lake Deniseberg",Argentina,Senior,"Medium (5L-15L)"
EMP0000132,"James Cordova",Sales,"Sales Executive",2021-11-29,4,3,Active,On-site,704809,Natashamouth,"British Indian Ocean Territory (Chagos Archipelago)",Mid_level,"Medium (5L-15L)"
EMP0000133,"Rachel Lopez",IT,"Data Analyst",2021-09-18,3,3,Active,Remote,688633,Johnsonfort,"Bosnia and Herzegovina",Mid_level,"Medium (5L-15L)"
EMP0000134,"David Escobar",IT,"Software Engineer",2015-08-14,1,10,Active,Remote,1346567,"New Nicholastown",Martinique,Senior,"Medium (5L-15L)"
EMP0000135,"Dawn Lyons",IT,"Data Analyst",2023-04-13,3,2,Active,Remote,498316,"South Sandrabury",Nicaragua,Junior,"Low(below 5L)"
EMP0000136,"Shannon Robinson",R&D,"Research Scientist",2022-01-31,5,3,Active,Remote,522612,Amyton,"Antigua and Barbuda",Mid_level,"Medium (5L-15L)"
EMP0000137,"David Simmons",Sales,"Sales Executive",2014-08-25,5,10,Active,On-site,532749,"Lake Jennaland",Gabon,Senior,"Medium (5L-15L)"
EMP0000138,"Mark David",IT,"Software Engineer",2017-12-05,2,7,Resigned,Remote,1654930,"New Annemouth",Honduras,Mid_level,"High (15L-25L"
EMP0000139,"Thomas Moore",Sales,"Account Manager",2017-07-20,1,8,Retired,Remote,765399,"Lake Saraside",Greenland,Senior,"Medium (5L-15L)"
EMP0000140,"Heather Anderson",IT,"Software Engineer",2019-02-13,2,6,Active,On-site,1398194,Hernandezmouth,Lesotho,Mid_level,"Medium (5L-15L)"
EMP0000141,"Robert Lee",Marketing,"Content Strategist",2020-11-27,4,4,Resigned,Remote,1035195,Jonathanberg,Lesotho,Mid_level,"Medium (5L-15L)"
EMP0000142,"Jennifer Harrison",Operations,"Operations Executive",2015-10-23,5,9,Resigned,Remote,456737,Mariahchester,"American Samoa",Senior,"Low(below 5L)"
EMP0000143,"Benjamin Faulkner",R&D,"Product Developer",2012-12-08,1,12,Active,On-site,742655,"Port Jessicamouth",Guinea,Senior,"Medium (5L-15L)"
EMP0000144,"Jane Mcintyre",IT,"IT Manager",2024-09-16,4,0,Active,On-site,2194883,Housemouth,Guam,Junior,"High (15L-25L"
EMP0000145,"Kimberly Thomas",Sales,"Account Manager",2021-07-12,5,4,Active,On-site,536360,Stuartberg,"Cook Islands",Mid_level,"Medium (5L-15L)"
EMP0000146,"Charlotte Fox",IT,"Software Engineer",2019-03-09,5,6,Active,Remote,1771742,Masonville,Vanuatu,Mid_level,"High (15L-25L"
EMP0000147,"Jeffery Wilson",Operations,"Logistics Coordinator",2017-04-14,2,8,Retired,Remote,505737,Mitchellberg,Madagascar,Senior,"Medium (5L-15L)"
EMP0000148,"Nicholas Parker",R&D,"Research Scientist",2020-05-05,3,5,Resigned,On-site,570314,Justinside,Philippines,Mid_level,"Medium (5L-15L)"
EMP0000149,"Lisa Maxwell",IT,"Software Engineer",2023-09-20,5,1,Active,On-site,1062363,Dominiqueshire,"Libyan Arab Jamahiriya",Junior,"Medium (5L-15L)"
EMP0000150,"Judy Ramos",Operations,"Operations Executive",2023-09-07,2,1,Retired,On-site,967082,"Port Blake",Taiwan,Junior,"Medium (5L-15L)"
EMP0000151,"Ronald Wall",Marketing,"Marketing Executive",2022-10-19,1,2,Active,Remote,973327,Reynoldsside,Spain,Junior,"Medium (5L-15L)"
EMP0000152,"Connie Brown",Marketing,"Marketing Executive",2024-04-30,5,1,Active,On-site,1038353,Josephburgh,Singapore,Junior,"Medium (5L-15L)"
EMP0000153,"George Morales",Finance,Accountant,2013-09-30,2,11,Active,On-site,716501,Knoxfort,"Dominican Republic",Senior,"Medium (5L-15L)"
EMP0000154,"Riley Hansen",IT,CTO,2024-05-31,4,1,Active,Remote,802570,"West Amandaville","Lao People's Democratic Republic",Junior,"Medium (5L-15L)"
EMP0000155,"Jeremy Taylor",Operations,"Operations Executive",2011-01-05,3,14,Active,Remote,961144,Stephanieton,"Cook Islands",Senior,"Medium (5L-15L)"
EMP0000156,"Scott Perry",IT,"Software Engineer",2019-11-03,5,5,Resigned,On-site,896063,"South Adamchester",Liberia,Mid_level,"Medium (5L-15L)"
EMP0000157,"Taylor Morris",Marketing,"SEO Specialist",2011-04-11,4,14,Active,On-site,602165,Phamtown,Botswana,Senior,"Medium (5L-15L)"
EMP0000158,"Kevin Reynolds",Operations,"Operations Executive",2018-05-24,2,7,Resigned,On-site,1137477,"West John",Nepal,Mid_level,"Medium (5L-15L)"
EMP0000159,"Brendan Ruiz",Marketing,"Marketing Executive",2018-09-22,1,6,Resigned,Remote,551409,"South Sarahville","Western Sahara",Mid_level,"Medium (5L-15L)"
EMP0000160,"Matthew Rodgers",Operations,"Operations Executive",2017-09-05,3,7,Active,Remote,521674,"South Michaelberg","Faroe Islands",Mid_level,"Medium (5L-15L)"
EMP0000161,"Tammy Smith",IT,"IT Manager",2017-03-13,2,8,Active,Remote,2908256,Meyerton,Portugal,Senior,"Executive (Above 25L)"
EMP0000162,"Dylan Dyer",IT,"Software Engineer",2016-02-28,2,9,Active,On-site,1110832,"Port Seth",Finland,Senior,"Medium (5L-15L)"
EMP0000163,"Mr. Russell Palmer DDS",IT,"Software Engineer",2019-02-01,2,6,Resigned,Remote,1197783,"South Jimview","French Guiana",Mid_level,"Medium (5L-15L)"
EMP0000164,"Paul Ford",IT,"Data Analyst",2016-05-20,1,9,Active,On-site,1155952,"North Peggy",Lesotho,Senior,"Medium (5L-15L)"
EMP0000165,"Michelle Martin DVM",IT,"Software Engineer",2023-05-26,5,2,Resigned,On-site,1515894,"North Tammy",Vietnam,Junior,"High (15L-25L"
EMP0000166,"Susan Torres",HR,"HR Executive",2016-03-30,3,9,Active,On-site,767144,"North Gregory",Samoa,Senior,"Medium (5L-15L)"
EMP0000167,"Jamie Graham",Operations,"Supply Chain Manager",2017-01-17,4,8,Active,Remote,872882,"Lake Gregoryborough",Dominica,Senior,"Medium (5L-15L)"
EMP0000168,"Lori Hill",Marketing,"Brand Manager",2022-02-27,5,3,Resigned,On-site,511948,"North Steven","Costa Rica",Mid_level,"Medium (5L-15L)"
